"feed_url","feed_name","website","country","language","category"
"http://www.independent.co.uk/news/world/rss","World","The Independent","Great Britain","English","global"
"http://www.independent.co.uk/voices/editorials/rss","Editorials","The Independent","Great Britain","English","opinion"
"http://www.theguardian.com/world/rss","World","The Guardian","Great Britain","English","global"
"http://www.theguardian.com/tone/editorials/rss","Editorials","The Guardian","Great Britain","English","opinion"
